"trip1","trip2","trip3","count"
"7","1","7",4433
"7","7","7",1932
"7","1","6",1195
"6","1","7",1186
"7","7","1",470
"1","7","7",442
"7","1","8",371
"7","6","7",251
"5","1","7",249
"7","1","5",236
"8","1","7",213
"7","6","1",205
"1","6","7",194
"7","7","8",191
"7","7","6",174
"6","7","7",171
"7","1","3",160
"7","5","7",129
"3","1","7",123
"7","2","7",108
"5","7","7",103
"4","1","7",99
"7","7","5",93
"7","1","4",92
"8","7","7",89
"7","6","8",88
"1","7","8",87
"7","2","1",80
"6","1","6",79
"6","1","8",79
"1","2","7",78
"7","6","6",73
"6","7","8",69
"6","7","1",64
"6","6","7",62
"7","3","7",60
"2","1","7",59
"1","7","6",58
"7","1","C",58
"7","1","2",57
"C","1","7",57
"8","6","7",52
"8","1","6",51
"7","7","C",48
"9","1","7",48
"8","7","1",39
"7","5","1",38
"4","7","7",37
"1","5","7",34
"5","1","6",33
"7","7","3",32
"7","7","4",32
"8","7","6",32
"6","3","7",30
"1","6","8",29
"7","6","5",29
"3","7","7",28
"8","1","8",28
"6","1","5",27
"7","1","9",26
"7","3","6",26
"7","4","7",24
"8","6","1",24
"6","1","3",21
"5","6","7",20
"C","7","7",20
"2","7","7",19
"7","6","3",19
"7","7","2",19
"3","1","6",18
"1","3","7",16
"5","1","5",16
"6","6","C",16
"7","5","6",16
"6","7","6",15
"5","7","1",14
"6","1","4",14
"6","5","7",14
"7","8","1",14
"8","6","8",14
"1","4","7",13
"4","1","6",12
"7","2","3",12
"7","2","6",12
"7","3","1",12
"5","5","7",11
"6","6","1",11
"7","2","5",11
"7","5","8",11
"1","5","8",10
"1","6","6",10
"5","2","7",10
"7","4","1",10
"8","5","7",10
"1","7","9",9
"6","1","2",9
"6","6","8",9
"7","3","8",9
"8","1","5",9
"8","6","6",9
"9","7","7",9
"2","1","6",8
"3","6","7",8
"5","1","8",8
"5","7","8",8
"7","5","5",8
"7","8","7",8
"7","C","7",8
"1","7","3",7
"1","7","5",7
"4","1","4",7
"6","1","C",7
"6","7","3",7
"7","2","8",7
"7","6","C",7
"7","7","9",7
"8","7","3",7
"9","1","6",7
"9","1","8",7
"3","1","8",6
"4","6","7",6
"5","2","1",6
"6","2","7",6
"6","7","5",6
"7","4","5",6
"8","1","3",6
"8","7","8",6
"9","6","7",6
"9","7","1",6
"C","1","6",6
"1","7","4",5
"1","8","7",5
"3","4","7",5
"3","7","6",5
"5","1","4",5
"5","4","7",5
"5","7","4",5
"5","7","6",5
"6","6","6",5
"7","4","3",5
"7","5","3",5
"7","5","4",5
"7","6","9",5
"8","6","3",5
"1","5","6",4
"1","7","1",4
"1","7","C",4
"2","1","4",4
"3","5","7",4
"3","6","8",4
"3","7","8",4
"4","1","2",4
"4","1","8",4
"4","7","1",4
"5","6","1",4
"5","6","6",4
"6","7","2",4
"6","8","1",4
"8","7","2",4
"8","7","5",4
"9","1","C",4
"9","6","1",4
"1","2","6",3
"1","6","9",3
"1","6","C",3
"2","5","7",3
"4","1","3",3
"5","1","9",3
"5","7","C",3
"6","3","1",3
"6","4","7",3
"6","7","C",3
"7","4","6",3
"7","4","8",3
"7","6","4",3
"7","8","6",3
"8","1","9",3
"C","5","1",3
"C","6","7",3
"1","2","5",2
"1","4","5",2
"1","6","5",2
"1","8","6",2
"2","7","5",2
"4","1","5",2
"4","5","1",2
"4","5","7",2
"4","7","5",2
"4","7","6",2
"5","1","C",2
"5","5","8",2
"6","2","1",2
"6","3","8",2
"6","4","6",2
"6","5","1",2
"6","5","6",2
"6","5","8",2
"6","6","5",2
"7","1","1",2
"7","2","9",2
"7","3","9",2
"7","5","2",2
"7","5","C",2
"7","8","5",2
"7","8","8",2
"8","1","4",2
"8","1","C",2
"8","2","1",2
"8","3","1",2
"8","3","7",2
"8","5","1",2
"8","5","6",2
"9","1","3",2
"C","1","5",2
"C","1","8",2
"C","3","7",2
"C","6","8",2
"C","7","1",2
"1","2","3",1
"1","2","4",1
"1","2","8",1
"1","2","9",1
"1","3","6",1
"1","4","C",1
"1","5","4",1
"1","5","5",1
"1","5","C",1
"1","8","5",1
"1","C","6",1
"1","C","C",1
"2","1","5",1
"2","1","8",1
"2","3","6",1
"2","6","7",1
"2","7","1",1
"2","7","6",1
"2","7","8",1
"2","8","6",1
"3","1","2",1
"3","1","4",1
"3","2","6",1
"3","2","7",1
"3","4","6",1
"3","5","1",1
"3","5","8",1
"3","7","1",1
"3","7","3",1
"4","1","C",1
"4","2","7",1
"4","4","7",1
"4","5","8",1
"5","1","2",1
"5","2","5",1
"5","2","8",1
"5","3","1",1
"5","6","8",1
"5","7","5",1
"6","1","9",1
"6","1","B",1
"6","1","b",1
"6","2","3",1
"6","2","5",1
"6","4","1",1
"6","5","5",1
"6","6","3",1
"6","6","B",1
"6","7","4",1
"6","7","9",1
"6","7","B",1
"6","8","7",1
"6","C","1",1
"7","4","4",1
"7","8","2",1
"7","8","C",1
"7","9","7",1
"7","C","6",1
"7","C","8",1
"8","2","6",1
"8","2","7",1
"8","4","5",1
"8","4","7",1
"8","5","4",1
"8","5","8",1
"8","6","4",1
"8","6","5",1
"8","7","C",1
"8","8","1",1
"8","C","8",1
"9","1","4",1
"9","1","5",1
"9","1","9",1
"9","2","1",1
"9","3","1",1
"9","4","7",1
"9","5","1",1
"9","6","3",1
"9","7","3",1
"9","7","6",1
"B","1","6",1
"B","7","7",1
"B","7","8",1
"C","6","6",1
"C","7","6",1
"C","8","8",1
