"trip1","trip2","trip3","trip4","count"
"1","2","3","6",3
"1","2","3","7",1
"1","2","5","6",1
"1","2","5","7",11
"1","2","6","7",24
"1","2","6","8",1
"1","2","6","9",1
"1","2","7",NA,76
"1","2","7","8",18
"1","2","7","9",2
"1","3","4","7",2
"1","3","4","8",1
"1","3","5","7",1
"1","3","6","7",23
"1","3","6","8",1
"1","3","7",NA,24
"1","3","7","8",4
"1","3","7","9",1
"1","4","5","7",2
"1","4","6","7",13
"1","4","6","C",1
"1","4","7",NA,12
"1","4","7","8",3
"1","4","7","9",1
"1","4","7","C",1
"1","5","6","7",30
"1","5","6","8",6
"1","5","7",NA,43
"1","5","7","8",18
"1","5","7","9",1
"1","5","7","C",3
"1","5","7","c",1
"1","6",NA,NA,2
"1","6","7",NA,203
"1","6","7","8",235
"1","6","7","9",5
"1","6","7","C",12
"1","6","8",NA,16
"1","6","8","9",1
"1","6","8","B",1
"1","6","8","C",2
"1","7",NA,NA,277
"1","7","8",NA,81
"1","7","8","9",3
"1","7","8","C",13
"1","7","9",NA,11
"1","7","C",NA,17
"1","8",NA,NA,1
"2","3","7",NA,3
"2","4","6","7",3
"2","5","7",NA,1
"2","5","7","8",2
"2","6","7",NA,1
"2","6","7","8",1
"2","7",NA,NA,21
"2","7","8",NA,12
"3","5","6",NA,1
"3","5","6","7",3
"3","5","7",NA,2
"3","6","7",NA,6
"3","6","7","8",5
"3","6","8","9",1
"3","7",NA,NA,12
"3","7","8",NA,3
"3","7","C",NA,1
"4","5","7",NA,3
"4","5","7","8",1
"4","6","7",NA,2
"4","6","7","8",2
"4","7",NA,NA,2
"5","6","7",NA,5
"5","6","7","8",8
"5","7",NA,NA,17
"5","7","8",NA,4
"6","7",NA,NA,34
"6","7","8",NA,14
"6","7","8","9",2
"6","7","9",NA,2
"6","7","C",NA,6
"7",NA,NA,NA,143
"7","8",NA,NA,40
"7","8","9",NA,1
"7","8","B",NA,2
"7","9",NA,NA,4
"7","C",NA,NA,1
